ticker,company_name,lead_bank_query,fdic_cert,fdic_bank_name,city,state,asset_usd_thousands,active,bkclass,n_name_matches,resolution_method,needs_review,in_phase1_panel,price_available,price_note
JPM,JPMorgan Chase & Co,"JPMorgan Chase Bank, National Association",628,"JPMorgan Chase Bank, National Association",Columbus,OH,4016571000,1,N,1,name-search,True,True,True,
BAC,Bank of America Corp,"Bank of America, National Association",3510,"Bank of America, National Association",Charlotte,NC,2672192000,1,N,2,name-search,True,True,True,
WFC,Wells Fargo & Co,"Wells Fargo Bank, National Association",3511,"Wells Fargo Bank, National Association",Sioux Falls,SD,1852239000,1,N,2,name-search,True,True,True,
C,Citigroup Inc,"Citibank, National Association",7213,"Citibank, National Association",Sioux Falls,SD,1933622000,1,N,1,name-search,True,True,True,
USB,U.S. Bancorp,U.S. Bank National Association,6548,U.S. Bank National Association,Cincinnati,OH,683379960,1,N,5,name-search,True,True,True,
PNC,PNC Financial Services,"PNC Bank, National Association",6384,"PNC Bank, National Association",Wilmington,DE,567948516,1,N,2,name-search,True,True,True,
TFC,Truist Financial Corp,Truist Bank,9846,Truist Bank,Charlotte,NC,541180000,1,NM,1,name-search,True,True,True,
GS,Goldman Sachs Group,Goldman Sachs Bank USA,33124,Goldman Sachs Bank USA,New York,NY,751776000,1,SM,2,name-search,True,True,True,
MS,Morgan Stanley,"Morgan Stanley Bank, National Association",32992,"Morgan Stanley Bank, National Association",Salt Lake City,UT,391305000,1,N,1,name-search,True,True,True,
COF,Capital One Financial,"Capital One, National Association",4297,"Capital One, National Association",Mclean,VA,672010000,1,N,1,name-search,True,True,True,
BK,Bank of New York Mellon,The Bank of New York Mellon,639,The Bank of New York Mellon,New York,NY,467349000,1,SM,2,name-search,True,True,True,
STT,State Street Corp,State Street Bank and Trust Company,14,State Street Bank and Trust Company,Boston,MA,386546000,1,SM,3,name-search,True,True,True,
NTRS,Northern Trust Corp,The Northern Trust Company,913,The Northern Trust Company,Chicago,IL,173842608,1,SM,1,name-search,True,True,True,
SCHW,Charles Schwab Corp,"Charles Schwab Bank, SSB",57450,"Charles Schwab Bank, SSB",Westlake,TX,242914000,1,SM,1,name-search,True,True,True,
ALLY,Ally Financial,Ally Bank,57803,Ally Bank,Sandy,UT,185664000,1,SM,1,name-search,True,True,True,
CFG,Citizens Financial Group,"Citizens Bank, National Association",57957,"Citizens Bank, National Association",Providence,RI,227134099,1,N,3,name-search,True,True,True,
FITB,Fifth Third Bancorp,"Fifth Third Bank, National Association",6672,"Fifth Third Bank, National Association",Cincinnati,OH,296118000,1,N,2,name-search,True,True,True,
KEY,KeyCorp,KeyBank National Association,17534,KeyBank National Association,Cleveland,OH,185983433,1,N,10,name-search,True,True,True,
RF,Regions Financial Corp,Regions Bank,12368,Regions Bank,Birmingham,AL,159430000,1,SM,9,name-search,True,True,True,
MTB,M&T Bank Corp,Manufacturers and Traders Trust Company,588,Manufacturers and Traders Trust Company,Buffalo,NY,214201000,1,SM,1,name-search,True,True,True,
HBAN,Huntington Bancshares,The Huntington National Bank,6560,The Huntington National Bank,Columbus,OH,284135374,1,N,8,name-search,True,True,True,
FCNCA,First Citizens BancShares,First-Citizens Bank & Trust Company,11063,First-Citizens Bank & Trust Company,Raleigh,NC,235521000,1,NM,2,name-search,True,True,True,
CMA,Comerica Inc,Comerica Bank,983,Comerica Bank,Dallas,TX,80052000,0,SM,9,name-search,True,True,False,"Comerica acquired (2025-26); Yahoo delisted the ticker, history removed"
ZION,Zions Bancorporation,"Zions Bancorporation, N.A.",2270,"Zions Bancorporation, N.A.",Salt Lake City,UT,87956932,1,N,1,direct-cert-lookup,True,True,True,
WAL,Western Alliance Bancorp,Western Alliance Bank,57512,Western Alliance Bank,Phoenix,AZ,98766387,1,SM,1,name-search,True,True,True,
EWBC,East West Bancorp,East West Bank,31628,East West Bank,Pasadena,CA,82474471,1,SM,1,name-search,True,True,True,
WBS,Webster Financial Corp,"Webster Bank, National Association",18221,"Webster Bank, National Association",Stamford,CT,85527350,1,N,1,name-search,True,True,True,
SNV,Synovus Financial Corp,Synovus Bank,873,Synovus Bank,Columbus,GA,61204265,0,SM,3,name-search,True,True,False,"Synovus acquired (2025-26); Yahoo delisted the ticker, history removed"
VLY,Valley National Bancorp,Valley National Bank,9396,Valley National Bank,Passaic,NJ,64388074,1,N,1,name-search,True,True,True,
COLB,Columbia Banking System,Umpqua Bank,17266,Columbia Bank,Roseburg,OR,66011146,1,NM,0,name-search,True,True,True,
CFR,Cullen/Frost Bankers,Frost Bank,5510,Frost  Bank,San Antonio,TX,52769892,1,SM,1,direct-cert-lookup,True,True,True,
WTFC,Wintrust Financial Corp,"Wintrust Bank, National Association",33935,"Wintrust Bank, National Association",Chicago,IL,9278678,1,N,1,name-search,True,True,True,
PNFP,Pinnacle Financial Partners,Pinnacle Bank,35583,Pinnacle Bank,Nashville,TN,122628191,1,SM,8,name-search,True,True,True,
BOKF,BOK Financial Corp,"BOKF, National Association",4214,"BOKF, National Association",Tulsa,OK,53492601,1,N,1,name-search,True,True,True,
PB,Prosperity Bancshares,Prosperity Bank,16835,Prosperity Bank,El Campo,TX,43608962,1,NM,3,name-search,True,True,True,
ONB,Old National Bancorp,Old National Bank,3832,Old National Bank,Evansville,IN,72614322,1,N,2,name-search,True,True,True,
FLG,Flagstar Financial (ex-NYCB),"Flagstar Bank, National Association",32541,"Flagstar Bank, National Association",Hicksville,NY,87128815,1,N,1,name-search,True,True,True,
BPOP,Popular Inc,Banco Popular de Puerto Rico,34968,Banco Popular de Puerto Rico,San Juan,PR,60625000,1,SM,4,name-search,True,True,True,
CBSH,Commerce Bancshares,Commerce Bank,24998,Commerce Bank,Kansas City,MO,35540239,1,SM,3,name-search,True,True,True,
FNB,F.N.B. Corp,First National Bank of Pennsylvania,7888,First National Bank of Pennsylvania,Greenville,PA,50421258,1,N,1,name-search,True,True,True,
ASB,Associated Banc-Corp,"Associated Bank, National Association",5296,"Associated Bank, National Association",Green Bay,WI,45537550,1,N,2,name-search,True,True,True,
HWC,Hancock Whitney Corp,Hancock Whitney Bank,12441,Hancock Whitney Bank,Gulfport,MS,35533297,1,NM,1,name-search,True,True,True,
OZK,Bank OZK,Bank OZK,110,Bank OZK,Little Rock,AR,41663976,1,NM,1,name-search,True,True,True,
SSB,SouthState Corp,"SouthState Bank, National Association",33555,"SouthState Bank, National Association",Winter Haven,FL,67870584,1,N,1,name-search,True,True,True,
