CERT,NAME,CITY,STNAME,BKCLASS,dep_chg_q4_to_q1,dep_chg_q4_to_q2,uninsured_chg_q4_to_q1,has_q1_2023_report,has_q2_2023_report,log_assets,deposits_to_assets,uninsured_to_deposits_est,uninsured_to_deposits_reported,liquid_assets_to_assets,equity_to_assets,noninterest_income_share,assets_2022Q4,deposits_2022Q4,uninsured_est_2022Q4
14,STATE STREET BANK&TRUST CO,BOSTON,MASSACHUSETTS,SM,-0.046955888920130334,-0.05198392352094739,-0.019188825046975163,True,True,19.512671156311587,0.8115025837192135,0.6843791865830866,0.6843791865830866,0.7043487014294343,0.08918528957788067,0.6844018250715336,298020000,241844000,165513000
35,AUBURNBANK,AUBURN,ALABAMA,SM,-0.011835674453829,0.00017226221249804367,-0.0348909053780219,True,True,13.838607752209883,0.930299619100107,0.4012049951840107,0.4012049951840107,0.4135939634500267,0.06446080874291309,0.18348876993543403,1023366,952037,381962
39,ROBERTSON BANKING CO,DEMOPOLIS,ALABAMA,NM,0.011807848530085869,0.0009290376983397434,-0.009383516748887433,True,True,13.005429481127038,0.9171061683100207,0.2842218022350833,,0.30583469342793296,0.07323603598742869,0.16063938328987643,444822,407949,115948
41,PHENIX-GIRARD BANK,PHENIX CITY,ALABAMA,NM,-0.021920456844803166,-0.04682734174179575,-0.04575987941542696,True,True,12.48877483894156,1.0057736807591713,0.4574143603348397,,0.7188232545168123,-0.0316384138206541,0.19567945500179276,265342,266874,122072
49,BANK OF EVERGREEN,EVERGREEN,ALABAMA,NM,-0.019604235080964785,-0.07150945532782245,-0.07242709086526875,True,True,11.243489253126375,0.9249420667443474,0.23491110859472314,,0.617326298425001,0.07403673688482738,0.12486105965172287,76381,70648,16596
50,COMMUNITY SPIRIT BANK,RED BAY,ALABAMA,NM,0.015486765152101095,0.13191415941313311,-0.17330437687938524,True,True,12.11576493249864,0.9198215947025666,0.17807102612461997,,0.3129425928966234,0.06756963826410552,0.16685330347144456,182730,168079,29930
51,BANK OF VERNON,VERNON,ALABAMA,NM,0.05501528920280804,0.0801068090787717,0.0037260909166183655,True,True,12.539937915536369,0.831414647421322,0.20805374908480123,,0.3369845060890676,0.16704562951398463,0.13045337895637296,279271,232190,48308
52,CITIZENS BANK OF WINFIELD,WINFIELD,ALABAMA,NM,0.03495874714212129,-0.012046015235995265,-0.0820520294396269,True,True,12.649706631755766,0.7100990785184425,0.18601740482021345,,0.694816987088991,0.06842770604994995,0.05630109517198828,311672,221318,41169
54,EXCHANGE BANK OF ALABAMA,ALTOONA,ALABAMA,NM,-0.045466528462639974,-0.020562841890199697,-0.10687876022128262,True,True,12.831481524444074,0.8930021776234477,0.3216658777853004,,0.4285343577615957,0.09361373133370073,0.11762165274978405,373802,333806,107374
58,UNITED BANK,ATMORE,ALABAMA,NM,-0.07901192634611132,-0.051392184655408756,1.320290478752017,True,True,13.988889750735769,0.9010726324436631,0.17346903545057626,0.17346903545057626,0.4026975146239396,0.08111966784297206,0.1805071799572258,1189317,1071661,185900
70,PEOPLES EXCHANGE BANK,MONROEVILLE,ALABAMA,NM,0.042697167495059585,0.050026947721420446,0.2003843231889887,True,True,11.435579949933482,0.9020927644586579,0.2680040721001258,,0.37485009237550915,0.09662154132048359,0.09175,92557,83495,22377
72,CENTRAL STATE BANK,CALERA,ALABAMA,SM,0.028123184195235327,0.0698961232249712,-0.05657002227691146,True,True,13.198822440718818,0.9087616192570716,0.3669979713956594,,0.29008076275315947,0.08315839986363527,0.13322963251020806,539729,490485,180007
77,BANKSOUTH,DOTHAN,ALABAMA,NM,-0.0150243808815503,-0.04520509329510763,-0.039939954326961465,True,True,12.229310541997352,0.814496194468056,0.3755735354977239,,0.2649070355932038,0.18380865844007385,0.011311569301260023,204702,166729,62619
81,WARREN BANK&TRUST CO,WARREN,ARKANSAS,SM,0.00783765106440358,-0.017150128942001384,-0.10149027733503348,True,True,11.848497296348278,0.8483206314254257,0.21149859259384113,,0.5128901725838969,0.11019202996982999,0.10356921807303486,139874,118658,25096
88,GENERATIONS BANK,ROGERS,ARKANSAS,NM,-0.030808420510325285,-0.0027877556277458963,-0.21375228699757973,True,True,13.60776287962802,0.8601177727556953,0.373102737667616,,0.20671531193532347,0.0983909641905831,0.10975213226282485,812412,698770,260713
89,SIGNATURE BANK OF ARKANSAS,FAYETTEVILLE,ARKANSAS,NM,0.09864857061061902,0.09663230037880324,0.11944445377671316,True,True,13.797749764705488,0.8284632673585804,0.3657214401649385,,0.10802059454639473,0.10140615393385152,0.1266862973361638,982396,813879,297653
90,COMMERCIAL BANK&TRUST CO,MONTICELLO,ARKANSAS,SM,0.0009881168211852247,-0.006371205416598644,-0.03248560913466075,True,True,12.413972601351622,0.9453654891193982,0.3642112679686896,,0.37169906343159315,0.03797041646021006,0.1339893323524002,246218,232766,84776
93,RIVERSIDE BANK,SPARKMAN,ARKANSAS,NM,0.03078025724469239,-0.018305439330543932,0.32988198619461145,True,True,11.05074713802576,0.8195456493784826,0.17398884239888424,,0.05086440920131447,0.091076502992491,0.22594351412146962,62991,51624,8982
94,FIRST STATE BANK OF WARREN,WARREN,ARKANSAS,SM,-0.033933995824335345,-0.034005681054489735,0.0015635660677734819,True,True,11.670424817443832,0.9533649985477285,0.3151999569888619,,0.5068427617078713,0.045575697517469975,0.18360498561840843,117058,111599,35176
99,BANK OF DELIGHT,DELIGHT,ARKANSAS,NM,-0.020265443471068165,0.008331766740609843,-0.10739224656874549,True,True,12.013324924692393,0.8062726600298293,0.21860360190998984,,0.16295820247608192,0.13049752028034778,0.07269597457627118,164938,132985,29071
105,BANK OF CAVE CITY,CAVE CITY,ARKANSAS,SM,0.03319201516862311,0.015395868396571437,-0.0035704583381844994,True,True,12.016267153826474,0.8512489118870297,0.18298216834615139,,0.25453984911500144,0.047490086081826095,0.16425672247590056,165424,140817,25767
