DEPUNA,BKCLASS,REPDTE,DEPDOM,ASSET,STNAME,INTINC,EQ,DEP,NAME,SC,CITY,DEPUNINS,CHBAL,CERT,NONII,ID,DATE
151481000,SM,20220930,165812000,300010000,MASSACHUSETTS,2324000,26807000,243887000,STATE STREET BANK&TRUST CO,105996000,BOSTON,151481000,101395000,14,6649000,14_20220930,2022-09-30
165513000,SM,20221231,163284000,298020000,MASSACHUSETTS,4081000,26579000,241844000,STATE STREET BANK&TRUST CO,105007000,BOSTON,165513000,104903000,14,8850000,14_20221231,2022-12-31
162337000,SM,20230331,160105000,287069000,MASSACHUSETTS,2020000,26373000,230488000,STATE STREET BANK&TRUST CO,107566000,BOSTON,162337000,90962000,14,2191000,14_20230331,2023-03-31
166328000,SM,20230630,164785000,290889000,MASSACHUSETTS,4245000,26017000,229272000,STATE STREET BANK&TRUST CO,106267000,BOSTON,166328000,89454000,14,4417000,14_20230630,2023-06-30
159436000,SM,20230930,158294000,280469000,MASSACHUSETTS,6565000,25684000,218322000,STATE STREET BANK&TRUST CO,103210000,BOSTON,159436000,80208000,14,6562000,14_20230930,2023-09-30
159748000,SM,20231231,158902000,293238000,MASSACHUSETTS,9147000,25391000,227068000,STATE STREET BANK&TRUST CO,101352000,BOSTON,159748000,91096000,14,8712000,14_20231231,2023-12-31
393752,SM,20220930,979725,1041913,ALABAMA,21402,57559,979725,AUBURNBANK,411538,AUBURN,393752,38504,35,2630,35_20220930,2022-09-30
381962,SM,20221231,952037,1023366,ALABAMA,29592,65967,952037,AUBURNBANK,405304,AUBURN,381962,17954,35,6650,35_20221231,2022-12-31
368635,SM,20230331,940769,1017190,ALABAMA,8244,71664,940769,AUBURNBANK,405692,AUBURN,368635,23905,35,783,35_20230331,2023-03-31
375049,SM,20230630,952201,1025574,ALABAMA,16654,69102,952201,AUBURNBANK,394079,AUBURN,375049,28340,35,1557,35_20230630,2023-06-30
337367,SM,20230930,965903,1030185,ALABAMA,25313,59750,965903,AUBURNBANK,373287,AUBURN,337367,29195,35,2409,35_20230930,2023-09-30
356333,SM,20231231,897520,977289,ALABAMA,34435,74858,897520,AUBURNBANK,270910,AUBURN,356333,39957,35,3257,35_20231231,2023-12-31
